name,Predicted value,Difference from optimal G
Fe-Mn,-0.946709850378385,1.027909850378385
Co-Mn,-1.1166205620885772,1.1978205620885771
Ni-Mn,-0.6985053251994162,0.7797053251994162
Cu-Mn,-0.7428733832261155,0.8240733832261156
Zn-Mn,-1.2781994012377458,1.3593994012377457
Y-Mn,-2.405584625185878,2.486784625185878
Zr-Mn,-2.403428288820057,2.484628288820057
Nb-Mn,-2.1647664751154636,2.2459664751154635
Mo-Mn,-1.9928112241454246,2.0740112241454245
Tc-Mn,-1.0059199871780748,1.0871199871780748
Ru-Mn,-0.6690002358644946,0.7502002358644946
Rh-Mn,-0.706035581277767,0.7872355812777669
Pd-Mn,-0.7805091199681083,0.8617091199681084
Ag-Mn,-0.7503193788089877,0.8315193788089876
Cd-Mn,-0.8726770288217417,0.9538770288217417
Hf-Mn,-2.6138860207282386,2.6950860207282386
Ta-Mn,-2.308035576907881,2.389235576907881
W-Mn,-2.154557981966058,2.235757981966058
Re-Mn,-0.904040373708867,0.9852403737088671
Os-Mn,-0.6591836066713244,0.7403836066713243
Ir-Mn,-0.7186738945171726,0.7998738945171726
Pt-Mn,-0.7189250048639656,0.8001250048639656
Au-Mn,-0.6049445963457445,0.6861445963457444
Fe-Fe,-0.5412873009343042,0.6224873009343042
Co-Fe,-0.32466363555600375,0.40586363555600374
Ni-Fe,-0.23264559810341476,0.3138455981034147
Cu-Fe,-0.26519145206651473,0.3463914520665147
Zn-Fe,-0.7854069670243073,0.8666069670243073
Y-Fe,-2.010612172250724,2.091812172250724
Zr-Fe,-2.0240002250080003,2.105200225008
Nb-Fe,-1.9196623587929837,2.000862358792984
Mo-Fe,-0.8255541768579293,0.9067541768579293
Tc-Fe,-0.5963031585045052,0.6775031585045053
Ru-Fe,-0.2990090764118986,0.3802090764118986
Rh-Fe,-0.1994817613947154,0.2806817613947154
Pd-Fe,-0.31855595312813223,0.3997559531281322
Ag-Fe,-0.26281127056166437,0.34401127056166436
Cd-Fe,-0.47515804170486153,0.5563580417048615
Hf-Fe,-2.4799211230695666,2.5611211230695665
Ta-Fe,-2.2304592298414376,2.3116592298414376
W-Fe,-0.7850522123387426,0.8662522123387426
Re-Fe,-0.7541076895501898,0.8353076895501899
Os-Fe,-0.2632032320039436,0.34440323200394357
Ir-Fe,-0.19244993695825938,0.27364993695825934
Pt-Fe,-0.30257190771551823,0.3837719077155182
Au-Fe,0.08591247876005334,0.004712478760053346
Co-Co,-0.12060529286560234,0.20180529286560234
Ni-Co,0.06011368951518619,0.021086310484813804
Cu-Co,0.0306781544095243,0.05052184559047569
Zn-Co,-0.6169806366639039,0.6981806366639038
Y-Co,-2.047270820398892,2.128470820398892
Zr-Co,-1.9682262186782116,2.0494262186782115
Nb-Co,-1.8702278820413507,1.9514278820413506
Mo-Co,-0.750229811373762,0.8314298113737619
Tc-Co,-0.43551490259212383,0.5167149025921238
Ru-Co,-0.14926925922222933,0.23046925922222933
Rh-Co,0.08456329162226062,0.0033632916222606224
Pd-Co,0.24222278860880064,0.16102278860880065
Ag-Co,0.24311793656463287,0.16191793656463288
Cd-Co,-0.4656589623376636,0.5468589623376636
Hf-Co,-2.2946826805258294,2.3758826805258293
Ta-Co,-2.0462779381111895,2.1274779381111895
W-Co,-1.094430464850274,1.175630464850274
Re-Co,-0.7168624222529995,0.7980624222529995
Os-Co,-0.17014452533553104,0.25134452533553103
Ir-Co,0.04594045090468089,0.0352595490953191
Pt-Co,0.1965317277900941,0.1153317277900941
Au-Co,0.6181243566524983,0.5369243566524984
Ni-Ni,0.3408351763590302,0.2596351763590302
Cu-Ni,0.29018939539579763,0.20898939539579764
Zn-Ni,-0.663541340359431,0.744741340359431
Y-Ni,-2.1847425502217632,2.265942550221763
Zr-Ni,-2.1933296658316688,2.2745296658316687
Nb-Ni,-1.9447392893161974,2.0259392893161974
Mo-Ni,-1.1715390908748315,1.2527390908748315
Tc-Ni,-0.37358795445096865,0.45478795445096865
Ru-Ni,-0.043717798348883355,0.12491779834888335
Rh-Ni,0.03810124956119669,0.043098750438803304
Pd-Ni,0.7071266631920571,0.625926663192057
Ag-Ni,0.5227373820316736,0.44153738203167364
Cd-Ni,-0.38299627367781497,0.46419627367781496
Hf-Ni,-2.4410324316758087,2.5222324316758087
Ta-Ni,-2.2072824671346103,2.2884824671346102
W-Ni,-0.4510720414697857,0.5322720414697857
Re-Ni,-0.7567834966448166,0.8379834966448165
Os-Ni,-0.052794483813038404,0.1339944838130384
