name,R_M1,N_M1,R_M2,N_M2,d,Xmax,Xmin,EAmax,EAmin,IEmax,IEmin,Omax,Omin,Qmax,Qmin,DBCmax,DBCmin
Ir-Co,1.8,7,1.52,7,2.302,2.2,1.88,1.5643615,0.662265,8.96702,7.88101,0.44,0.39,0.731613,0.491305,-1.13,-1.696
Pt-Co,1.77,9,1.52,7,2.362,2.28,1.88,2.125105,0.662265,8.95883,7.88101,0.39,0.11,0.73559,0.368144,-0.852,-2.423
Au-Co,1.74,10,1.52,7,2.377,2.54,1.88,2.30861025,0.662265,9.225554,7.88101,0.39,0.0,0.705305,0.478447,-0.8345,-4.533
Ni-Ni,1.49,8,1.49,8,2.365,1.91,1.91,1.1571612,1.1571612,7.639878,7.639878,0.19,0.19,0.594797,0.593507,-1.034,-1.034
Cu-Ni,1.45,10,1.49,8,2.404,1.91,1.9,1.235784,1.1571612,7.72638,7.639878,0.19,0.19,0.692898,0.638085,-1.649,-2.909
Zn-Ni,1.42,10,1.49,8,2.446,1.91,1.65,1.1571612,-0.62,9.394197,7.639878,0.24,0.19,1.017763,0.577738,-1.475,-7.3675
Y-Ni,2.12,1,1.49,8,2.467,1.91,1.22,1.1571612,0.30712,7.639878,6.21726,0.81,0.19,1.709992,0.328256,1.785,-1.1905
Zr-Ni,2.06,2,1.49,8,2.362,1.91,1.33,1.1571612,0.433289,7.639878,6.634126,0.84,0.19,1.747331,0.387599,0.7725,-1.786
Nb-Ni,1.98,4,1.49,8,2.314,1.91,1.6,1.1571612,0.917407,7.639878,6.75885,0.81,0.19,1.501292,0.442977,0.3335,-1.9135
Mo-Ni,1.9,5,1.49,8,2.38,2.16,1.91,1.1571612,0.74733,7.639878,7.09243,0.62,0.19,1.219267,0.507246,-0.288,-1.7525
Tc-Ni,1.83,5,1.49,8,2.33,1.91,1.9,1.1571612,0.552,7.639878,7.11938,0.5,0.19,1.013781,0.538827,-0.803,-1.4805
Ru-Ni,1.78,7,1.49,8,2.333,2.2,1.91,1.1571612,1.0463825,7.639878,7.3605,0.43,0.19,0.717829,0.612714,-0.9785,-1.5515
Rh-Ni,1.73,8,1.49,8,2.409,2.28,1.91,1.1571612,1.142892,7.639878,7.4589,0.31,0.19,0.632396,0.507097,-1.252,-1.27
Pd-Ni,1.69,10,1.49,8,2.361,2.2,1.91,1.1571612,0.5621412,8.336839,7.639878,0.19,-0.03,0.604852,0.416898,-0.907,-2.1695
Ag-Ni,1.65,10,1.49,8,2.382,1.93,1.91,1.304473,1.1571612,7.639878,7.576234,0.19,0.1,0.669275,0.60654,-1.9245,-5.1785
Cd-Ni,1.61,10,1.49,8,2.585,1.91,1.69,1.1571612,-0.72,8.99382,7.639878,0.25,0.19,0.649963,0.645649,-1.2125,-7.7565
Hf-Ni,2.08,2,1.49,8,2.361,1.91,1.3,1.1571612,0.17807,7.639878,6.82507,1.0,0.19,1.733213,0.374616,0.842,-1.751
Ta-Ni,2.0,3,1.49,8,2.306,1.91,1.5,1.1571612,0.32312,7.639878,7.549571,0.75,0.19,1.604342,0.411538,0.2755,-1.918
W-Ni,1.93,4,1.49,8,2.28,2.36,1.91,1.1571612,0.816268,7.86403,7.639878,0.85,0.19,1.426678,0.481876,-0.492,-2.1605
Re-Ni,1.88,5,1.49,8,2.336,1.91,1.9,1.1571612,0.06039663,7.83352,7.639878,0.5,0.19,1.036837,0.533016,-0.865,-1.612
Os-Ni,1.85,6,1.49,8,2.332,2.2,1.91,1.1571612,1.0778013,8.43823,7.639878,0.43,0.19,0.707496,0.608237,-1.089,-1.5
Ir-Ni,1.8,7,1.49,8,2.393,2.2,1.91,1.5643615,1.1571612,8.96702,7.639878,0.44,0.19,0.622893,0.501381,-1.325,-1.4925
Pt-Ni,1.77,9,1.49,8,2.366,2.28,1.91,2.125105,1.1571612,8.95883,7.639878,0.19,0.11,0.616449,0.395069,-0.9385,-2.269
Au-Ni,1.74,10,1.49,8,2.372,2.54,1.91,2.30861025,1.1571612,9.225554,7.639878,0.19,0.0,0.662082,0.530331,-1.7245,-4.8725
Cu-Cu,1.45,10,1.45,10,2.391,1.9,1.9,1.235784,1.235784,7.72638,7.72638,0.19,0.19,0.691145,0.684634,-2.719,-2.719
Zn-Cu,1.42,10,1.45,10,2.394,1.9,1.65,1.235784,-0.62,9.394197,7.72638,0.24,0.19,1.011959,0.600261,-2.5075,-7.0665
Y-Cu,2.12,1,1.45,10,2.648,1.9,1.22,1.235784,0.30712,7.72638,6.21726,0.81,0.19,1.875397,0.545413,1.144,-3.0885
Zr-Cu,2.06,2,1.45,10,2.55,1.9,1.33,1.235784,0.433289,7.72638,6.634126,0.84,0.19,1.687842,0.570062,0.656,-3.255
Nb-Cu,1.98,4,1.45,10,2.576,1.9,1.6,1.235784,0.917407,7.72638,6.75885,0.81,0.19,1.430047,0.577649,0.384,-2.968
Mo-Cu,1.9,5,1.45,10,2.496,2.16,1.9,1.235784,0.74733,7.72638,7.09243,0.62,0.19,1.199624,0.604098,-0.1905,-2.8315
Tc-Cu,1.83,5,1.45,10,2.411,1.9,1.9,1.235784,0.552,7.72638,7.11938,0.5,0.19,1.07271,0.639249,-1.151,-3.028
Ru-Cu,1.78,7,1.45,10,2.422,2.2,1.9,1.235784,1.0463825,7.72638,7.3605,0.43,0.19,0.748738,0.642492,-0.8435,-2.414
Rh-Cu,1.73,8,1.45,10,2.422,2.28,1.9,1.235784,1.142892,7.72638,7.4589,0.31,0.19,0.669429,0.482286,-1.065,-2.3655
Pd-Cu,1.69,10,1.45,10,2.406,2.2,1.9,1.235784,0.5621412,8.336839,7.72638,0.19,-0.03,0.714887,0.515018,-3.0235,-3.2065
Ag-Cu,1.65,10,1.45,10,2.557,1.93,1.9,1.304473,1.235784,7.72638,7.576234,0.19,0.1,0.688908,0.491312,-1.959,-3.161
Cd-Cu,1.61,10,1.45,10,2.559,1.9,1.69,1.235784,-0.72,8.99382,7.72638,0.25,0.19,0.786899,0.665278,-2.6125,-8.308
Hf-Cu,2.08,2,1.45,10,2.531,1.9,1.3,1.235784,0.17807,7.72638,6.82507,1.0,0.19,1.668234,0.557164,0.641,-3.301
Ta-Cu,2.0,3,1.45,10,2.465,1.9,1.5,1.235784,0.32312,7.72638,7.549571,0.75,0.19,1.560307,0.567962,0.138,-3.3195
W-Cu,1.93,4,1.45,10,2.487,2.36,1.9,1.235784,0.816268,7.86403,7.72638,0.85,0.19,1.302797,0.597742,-0.236,-2.947
Re-Cu,1.88,5,1.45,10,2.419,1.9,1.9,1.235784,0.06039663,7.83352,7.72638,0.5,0.19,0.992031,0.63176,-0.8285,-3.066
Os-Cu,1.85,6,1.45,10,2.447,2.2,1.9,1.235784,1.0778013,8.43823,7.72638,0.43,0.19,0.666434,0.654517,-0.9445,-2.5225
Ir-Cu,1.8,7,1.45,10,2.424,2.2,1.9,1.5643615,1.235784,8.96702,7.72638,0.44,0.19,0.685924,0.487957,-1.383,-2.4735
Pt-Cu,1.77,9,1.45,10,2.409,2.28,1.9,2.125105,1.235784,8.95883,7.72638,0.19,0.11,0.724736,0.48745,-3.022,-3.0655
Au-Cu,1.74,10,1.45,10,2.389,2.54,1.9,2.30861025,1.235784,9.225554,7.72638,0.19,0.0,0.751345,0.487288,-3.073,-4.5275
Zn-Zn,1.42,10,1.42,10,2.548,1.65,1.65,-0.62,-0.62,9.394197,9.394197,0.24,0.24,1.008114,1.006652,-7.754,-7.754
Y-Zn,2.12,1,1.42,10,2.876,1.65,1.22,0.30712,-0.62,9.394197,6.21726,0.81,0.24,2.012203,0.05162,1.703,-6.3265
Zr-Zn,2.06,2,1.42,10,2.74,1.65,1.33,0.433289,-0.62,9.394197,6.634126,0.84,0.24,1.924502,0.181378,0.8585,-6.3525
Nb-Zn,1.98,4,1.42,10,2.617,1.65,1.6,0.917407,-0.62,9.394197,6.75885,0.81,0.24,1.608587,0.357195,0.5065,-6.2505
Mo-Zn,1.9,5,1.42,10,2.551,2.16,1.65,0.74733,-0.62,9.394197,7.09243,0.62,0.24,1.278763,0.5373,-0.068,-6.352
Tc-Zn,1.83,5,1.42,10,2.497,1.9,1.65,0.552,-0.62,9.394197,7.11938,0.5,0.24,0.984264,0.766282,-0.7365,-6.723
Ru-Zn,1.78,7,1.42,10,2.473,2.2,1.65,1.0463825,-0.62,9.394197,7.3605,0.43,0.24,0.913065,0.620032,-0.8345,-6.918
Rh-Zn,1.73,8,1.42,10,2.452,2.28,1.65,1.142892,-0.62,9.394197,7.4589,0.31,0.24,1.039051,0.464363,-1.601,-7.396
Pd-Zn,1.69,10,1.42,10,2.402,2.2,1.65,0.5621412,-0.62,9.394197,8.336839,0.24,-0.03,0.906772,0.344591,-2.1845,-6.497
Ag-Zn,1.65,10,1.42,10,2.514,1.93,1.65,1.304473,-0.62,9.394197,7.576234,0.24,0.1,1.053831,0.486452,-4.164,-7.2875
Cd-Zn,1.61,10,1.42,10,2.822,1.69,1.65,-0.62,-0.72,9.394197,8.99382,0.25,0.24,1.05953,0.18266,-6.4115,-7.23
Hf-Zn,2.08,2,1.42,10,2.705,1.65,1.3,0.17807,-0.62,9.394197,6.82507,1.0,0.24,1.952672,0.242137,0.878,-6.5325
Ta-Zn,2.0,3,1.42,10,2.617,1.65,1.5,0.32312,-0.62,9.394197,7.549571,0.75,0.24,1.70812,0.37348,0.4535,-6.363
W-Zn,1.93,4,1.42,10,2.551,2.36,1.65,0.816268,-0.62,9.394197,7.86403,0.85,0.24,1.386937,0.515753,0.0995,-6.3015
Re-Zn,1.88,5,1.42,10,2.505,1.9,1.65,0.06039663,-0.62,9.394197,7.83352,0.5,0.24,1.008601,0.709134,-0.7385,-6.6395
Os-Zn,1.85,6,1.42,10,2.471,2.2,1.65,1.0778013,-0.62,9.394197,8.43823,0.43,0.24,0.836414,0.63714,-0.93,-6.6095
Ir-Zn,1.8,7,1.42,10,2.474,2.2,1.65,1.5643615,-0.62,9.394197,8.96702,0.44,0.24,1.000042,0.491537,-1.8275,-7.2165
Pt-Zn,1.77,9,1.42,10,2.412,2.28,1.65,2.125105,-0.62,9.394197,8.95883,0.24,0.11,0.877629,0.322764,-2.198,-6.2525
Au-Zn,1.74,10,1.42,10,2.412,2.54,1.65,2.30861025,-0.62,9.394197,9.225554,0.24,0.0,1.008208,0.37602,-4.25,-6.778
Y-Y,2.12,1,2.12,1,3.238,1.22,1.22,0.30712,0.30712,6.21726,6.21726,0.81,0.81,1.407235,1.404938,1.317,1.317
Zr-Y,2.06,2,2.12,1,2.926,1.33,1.22,0.433289,0.30712,6.634126,6.21726,0.84,0.81,1.466169,1.40859,1.2665,0.9295
Nb-Y,1.98,4,2.12,1,2.86,1.6,1.22,0.917407,0.30712,6.75885,6.21726,0.81,0.81,1.614049,0.945282,1.365,0.2775
Mo-Y,1.9,5,2.12,1,2.671,2.16,1.22,0.74733,0.30712,7.09243,6.21726,0.81,0.62,1.632633,0.891789,1.76,-0.134
Tc-Y,1.83,5,2.12,1,2.266,1.9,1.22,0.552,0.30712,7.11938,6.21726,0.81,0.5,1.564096,0.447148,1.639,-0.787
Ru-Y,1.78,7,2.12,1,2.528,2.2,1.22,1.0463825,0.30712,7.3605,6.21726,0.81,0.43,1.743825,0.395844,1.693,-0.899
Rh-Y,1.73,8,2.12,1,2.608,2.28,1.22,1.142892,0.30712,7.4589,6.21726,0.81,0.31,1.867294,0.405021,1.238,-2.225
Pd-Y,1.69,10,2.12,1,2.526,2.2,1.22,0.5621412,0.30712,8.336839,6.21726,0.81,-0.03,1.765568,0.095064,1.67,-2.432
Ag-Y,1.65,10,2.12,1,2.722,1.93,1.22,1.304473,0.30712,7.576234,6.21726,0.81,0.1,1.861877,0.379492,1.0975,-4.821
Cd-Y,1.61,10,2.12,1,3.184,1.69,1.22,0.30712,-0.72,8.99382,6.21726,0.81,0.25,2.036732,0.050934,1.6605,-8.6445
Hf-Y,2.08,2,2.12,1,2.936,1.3,1.22,0.30712,0.17807,6.82507,6.21726,1.0,0.81,1.528169,1.45347,1.289,0.614
Ta-Y,2.0,3,2.12,1,2.772,1.5,1.22,0.32312,0.30712,7.549571,6.21726,0.81,0.75,1.552659,1.241406,1.8195,0.542
W-Y,1.93,4,2.12,1,2.691,2.36,1.22,0.816268,0.30712,7.86403,6.21726,0.85,0.81,1.621999,0.668629,1.796,-0.0295
Re-Y,1.88,5,2.12,1,2.501,1.9,1.22,0.30712,0.06039663,7.83352,6.21726,0.81,0.5,1.621931,0.391958,1.813,-0.699
Os-Y,1.85,6,2.12,1,2.586,2.2,1.22,1.0778013,0.30712,8.43823,6.21726,0.81,0.43,1.731778,0.412806,1.666,-1.1665
Ir-Y,1.8,7,2.12,1,2.653,2.2,1.22,1.5643615,0.30712,8.96702,6.21726,0.81,0.44,1.865418,0.382941,1.216,-2.2875
Pt-Y,1.77,9,2.12,1,2.559,2.28,1.22,2.125105,0.30712,8.95883,6.21726,0.81,0.11,1.759866,0.031168,1.8,-2.442
Au-Y,1.74,10,2.12,1,2.696,2.54,1.22,2.30861025,0.30712,9.225554,6.21726,0.81,0.0,1.865134,0.259613,1.23,-4.681
Zr-Zr,2.06,2,2.06,2,2.749,1.33,1.33,0.433289,0.433289,6.634126,6.634126,0.84,0.84,1.265395,1.26437,1.024,1.024
Nb-Zr,1.98,4,2.06,2,2.286,1.6,1.33,0.917407,0.433289,6.75885,6.634126,0.84,0.81,1.309443,0.923623,1.0945,0.532
Mo-Zr,1.9,5,2.06,2,2.181,2.16,1.33,0.74733,0.433289,7.09243,6.634126,0.84,0.62,1.412268,0.725771,0.881,-0.539
Tc-Zr,1.83,5,2.06,2,2.091,1.9,1.33,0.552,0.433289,7.11938,6.634126,0.84,0.5,1.511966,0.502326,0.6635,-1.1645
Ru-Zr,1.78,7,2.06,2,2.364,2.2,1.33,1.0463825,0.433289,7.3605,6.634126,0.84,0.43,1.679221,0.429918,0.9045,-1.235
Rh-Zr,1.73,8,2.06,2,2.295,2.28,1.33,1.142892,0.433289,7.4589,6.634126,0.84,0.31,1.662262,0.155601,1.105,-1.664
Pd-Zr,1.69,10,2.06,2,2.449,2.2,1.33,0.5621412,0.433289,8.336839,6.634126,0.84,-0.03,1.755655,0.192241,0.677,-3.017
Ag-Zr,1.65,10,2.06,2,2.672,1.93,1.33,1.304473,0.433289,7.576234,6.634126,0.84,0.1,1.652682,0.42287,0.594,-4.967
Cd-Zr,1.61,10,2.06,2,3.215,1.69,1.33,0.433289,-0.72,8.99382,6.634126,0.84,0.25,1.903298,0.049917,0.8615,-8.454
Hf-Zr,2.08,2,2.06,2,2.816,1.33,1.3,0.433289,0.17807,6.82507,6.634126,1.0,0.84,1.322013,1.257553,1.048,1.041
Ta-Zr,2.0,3,2.06,2,2.517,1.5,1.33,0.433289,0.32312,7.549571,6.634126,0.84,0.75,1.360038,0.941712,1.1875,0.6295
W-Zr,1.93,4,2.06,2,2.316,2.36,1.33,0.816268,0.433289,7.86403,6.634126,0.85,0.84,1.414028,0.725756,1.113,-0.07
Re-Zr,1.88,5,2.06,2,2.346,1.9,1.33,0.433289,0.06039663,7.83352,6.634126,0.84,0.5,1.547999,0.420862,1.172,-0.577
Os-Zr,1.85,6,2.06,2,2.411,2.2,1.33,1.0778013,0.433289,8.43823,6.634126,0.84,0.43,1.698351,0.430269,0.8685,-1.418
Ir-Zr,1.8,7,2.06,2,2.344,2.2,1.33,1.5643615,0.433289,8.96702,6.634126,0.84,0.44,1.692349,0.114206,1.167,-1.7125
Pt-Zr,1.77,9,2.06,2,2.462,2.28,1.33,2.125105,0.433289,8.95883,6.634126,0.84,0.11,1.820427,0.138376,0.6615,-3.0775
Au-Zr,1.74,10,2.06,2,2.651,2.54,1.33,2.30861025,0.433289,9.225554,6.634126,0.84,0.0,1.681904,0.307029,0.5965,-4.9355
Nb-Nb,1.98,4,1.98,4,2.16,1.6,1.6,0.917407,0.917407,6.75885,6.75885,0.81,0.81,1.098571,1.097844,0.14,0.14
Mo-Nb,1.9,5,1.98,4,2.029,2.16,1.6,0.917407,0.74733,7.09243,6.75885,0.81,0.62,1.192096,0.827714,0.199,-0.696
Tc-Nb,1.83,5,1.98,4,2.223,1.9,1.6,0.917407,0.552,7.11938,6.75885,0.81,0.5,1.363891,0.636942,0.483,-0.697
Ru-Nb,1.78,7,1.98,4,2.158,2.2,1.6,1.0463825,0.917407,7.3605,6.75885,0.81,0.43,1.405821,0.370696,0.501,-1.185
Rh-Nb,1.73,8,1.98,4,2.251,2.28,1.6,1.142892,0.917407,7.4589,6.75885,0.81,0.31,1.551422,0.284544,0.2065,-2.073
Pd-Nb,1.69,10,1.98,4,2.396,2.2,1.6,0.917407,0.5621412,8.336839,6.75885,0.81,-0.03,1.515094,0.272314,0.2725,-3.1465
Ag-Nb,1.65,10,1.98,4,2.621,1.93,1.6,1.304473,0.917407,7.576234,6.75885,0.81,0.1,1.440228,0.473952,0.072,-5.037
Cd-Nb,1.61,10,1.98,4,3.152,1.69,1.6,0.917407,-0.72,8.99382,6.75885,0.81,0.25,1.651907,0.078661,0.3135,-8.137
Hf-Nb,2.08,2,1.98,4,2.508,1.6,1.3,0.917407,0.17807,6.82507,6.75885,1.0,0.81,1.3218,0.937162,1.219,0.647
Ta-Nb,2.0,3,1.98,4,2.306,1.6,1.5,0.917407,0.32312,7.549571,6.75885,0.81,0.75,1.096856,1.038788,0.3935,0.3835
W-Nb,1.93,4,1.98,4,2.292,2.36,1.6,0.917407,0.816268,7.86403,6.75885,0.85,0.81,1.214019,0.856947,0.283,-0.2915
Re-Nb,1.88,5,1.98,4,2.302,1.9,1.6,0.917407,0.06039663,7.83352,6.75885,0.81,0.5,1.383002,0.688575,0.3185,-0.799
Os-Nb,1.85,6,1.98,4,2.216,2.2,1.6,1.0778013,0.917407,8.43823,6.75885,0.81,0.43,1.421993,0.371016,0.573,-1.298
Ir-Nb,1.8,7,1.98,4,2.283,2.2,1.6,1.5643615,0.917407,8.96702,6.75885,0.81,0.44,1.587357,0.268068,0.158,-2.235
Pt-Nb,1.77,9,1.98,4,2.405,2.28,1.6,2.125105,0.917407,8.95883,6.75885,0.81,0.11,1.536499,0.227772,0.305,-3.1975
Au-Nb,1.74,10,1.98,4,2.596,2.54,1.6,2.30861025,0.917407,9.225554,6.75885,0.81,0.0,1.444388,0.364983,0.384,-4.934
Mo-Mo,1.9,5,1.9,5,2.015,2.16,2.16,0.74733,0.74733,7.09243,7.09243,0.62,0.62,1.038346,1.036844,-1.253,-1.253
Tc-Mo,1.83,5,1.9,5,2.097,2.16,1.9,0.74733,0.552,7.11938,7.09243,0.62,0.5,1.064876,0.703561,-0.282,-0.819
Ru-Mo,1.78,7,1.9,5,2.152,2.2,2.16,1.0463825,0.74733,7.3605,7.09243,0.62,0.43,1.246544,0.537656,-0.621,-1.555
Rh-Mo,1.73,8,1.9,5,2.242,2.28,2.16,1.142892,0.74733,7.4589,7.09243,0.62,0.31,1.27806,0.378631,-0.4245,-2.0185
Pd-Mo,1.69,10,1.9,5,2.443,2.2,2.16,0.74733,0.5621412,8.336839,7.09243,0.62,-0.03,1.244113,0.33294,-0.2835,-2.9715
Ag-Mo,1.65,10,1.9,5,2.546,2.16,1.93,1.304473,0.74733,7.576234,7.09243,0.62,0.1,1.195496,0.484307,-0.198,-4.7725
Cd-Mo,1.61,10,1.9,5,2.801,2.16,1.69,0.74733,-0.72,8.99382,7.09243,0.62,0.25,1.358101,0.391211,-0.2895,-8.077
Hf-Mo,2.08,2,1.9,5,2.395,2.16,1.3,0.74733,0.17807,7.09243,6.82507,1.0,0.62,1.417594,0.679007,1.042,-0.3
Ta-Mo,2.0,3,1.9,5,2.294,2.16,1.5,0.74733,0.32312,7.549571,7.09243,0.75,0.62,1.273429,0.794325,0.437,-0.331
W-Mo,1.93,4,1.9,5,2.13,2.36,2.16,0.816268,0.74733,7.86403,7.09243,0.85,0.62,1.032703,0.927769,-0.192,-0.377
Re-Mo,1.88,5,1.9,5,2.156,2.16,1.9,0.74733,0.06039663,7.83352,7.09243,0.62,0.5,1.053306,0.716725,-0.0785,-0.762
Os-Mo,1.85,6,1.9,5,2.189,2.2,2.16,1.0778013,0.74733,8.43823,7.09243,0.62,0.43,1.241449,0.555554,-0.557,-1.745
Ir-Mo,1.8,7,1.9,5,2.268,2.2,2.16,1.5643615,0.74733,8.96702,7.09243,0.62,0.44,1.28103,0.375712,-0.431,-2.1955
Pt-Mo,1.77,9,1.9,5,2.446,2.28,2.16,2.125105,0.74733,8.95883,7.09243,0.62,0.11,1.258555,0.298045,-0.255,-3.0215
Au-Mo,1.74,10,1.9,5,2.54,2.54,2.16,2.30861025,0.74733,9.225554,7.09243,0.62,0.0,1.229039,0.374489,-0.121,-4.672
Tc-Tc,1.83,5,1.83,5,2.108,1.9,1.9,0.552,0.552,7.11938,7.11938,0.5,0.5,0.873347,0.863678,-1.161,-1.161
Ru-Tc,1.78,7,1.83,5,2.172,2.2,1.9,1.0463825,0.552,7.3605,7.11938,0.5,0.43,0.93813,0.634432,-0.987,-1.3675
Rh-Tc,1.73,8,1.83,5,2.328,2.28,1.9,1.142892,0.552,7.4589,7.11938,0.5,0.31,0.996985,0.442954,-0.8045,-1.708
Pd-Tc,1.69,10,1.83,5,2.435,2.2,1.9,0.5621412,0.552,8.336839,7.11938,0.5,-0.03,1.002244,0.413602,-1.0355,-3.2065
Ag-Tc,1.65,10,1.83,5,2.738,1.93,1.9,1.304473,0.552,7.576234,7.11938,0.5,0.1,1.115897,0.348237,-0.7635,-3.2545
Cd-Tc,1.61,10,1.83,5,2.924,1.9,1.69,0.552,-0.72,8.99382,7.11938,0.5,0.25,1.175074,0.251979,-0.835,-7.4855
Hf-Tc,2.08,2,1.83,5,2.313,1.9,1.3,0.552,0.17807,7.11938,6.82507,1.0,0.5,1.495214,0.434691,1.103,-0.623
Ta-Tc,2.0,3,1.83,5,2.198,1.9,1.5,0.552,0.32312,7.549571,7.11938,0.75,0.5,1.306509,0.526649,0.7755,-0.442
W-Tc,1.93,4,1.83,5,2.145,2.36,1.9,0.816268,0.552,7.86403,7.11938,0.85,0.5,1.162442,0.65014,-0.064,-0.649
Re-Tc,1.88,5,1.83,5,2.147,1.9,1.9,0.552,0.06039663,7.83352,7.11938,0.5,0.5,0.912397,0.85016,-1.077,-1.205
Os-Tc,1.85,6,1.83,5,2.201,2.2,1.9,1.0778013,0.552,8.43823,7.11938,0.5,0.43,0.939776,0.648111,-0.985,-1.6405
Ir-Tc,1.8,7,1.83,5,2.337,2.2,1.9,1.5643615,0.552,8.96702,7.11938,0.5,0.44,0.992985,0.437342,-0.801,-1.8835
Pt-Tc,1.77,9,1.83,5,2.426,2.28,1.9,2.125105,0.552,8.95883,7.11938,0.5,0.11,1.026125,0.392725,-1.0675,-3.277
Au-Tc,1.74,10,1.83,5,2.488,2.54,1.9,2.30861025,0.552,9.225554,7.11938,0.5,0.0,1.083263,0.429262,-1.14,-4.9105
Ru-Ru,1.78,7,1.78,7,2.236,2.2,2.2,1.0463825,1.0463825,7.3605,7.3605,0.43,0.43,0.73087,0.717888,-1.5275,-1.5275
Rh-Ru,1.73,8,1.78,7,2.344,2.28,2.2,1.142892,1.0463825,7.4589,7.3605,0.43,0.31,0.731649,0.53707,-1.156,-1.845
Pd-Ru,1.69,10,1.78,7,2.46,2.2,2.2,1.0463825,0.5621412,8.336839,7.3605,0.43,-0.03,0.68692,0.458568,-0.843,-2.845
Ag-Ru,1.65,10,1.78,7,2.725,2.2,1.93,1.304473,1.0463825,7.576234,7.3605,0.43,0.1,0.790146,0.436691,-0.6465,-3.0405
Cd-Ru,1.61,10,1.78,7,2.666,2.2,1.69,1.0463825,-0.72,8.99382,7.3605,0.43,0.25,0.69482,0.68094,-0.727,-8.15
Hf-Ru,2.08,2,1.78,7,2.381,2.2,1.3,1.0463825,0.17807,7.3605,6.82507,1.0,0.43,1.636402,0.414516,1.091,-1.1095
Ta-Ru,2.0,3,1.78,7,2.198,2.2,1.5,1.0463825,0.32312,7.549571,7.3605,0.75,0.43,1.464661,0.331277,0.525,-1.039
W-Ru,1.93,4,1.78,7,2.187,2.36,2.2,1.0463825,0.816268,7.86403,7.3605,0.85,0.43,1.35418,0.499637,-0.425,-1.481
Re-Ru,1.88,5,1.78,7,2.196,2.2,1.9,1.0463825,0.06039663,7.83352,7.3605,0.5,0.43,0.993238,0.609503,-1.079,-1.3775
Os-Ru,1.85,6,1.78,7,2.241,2.2,2.2,1.0778013,1.0463825,8.43823,7.3605,0.43,0.43,0.718763,0.670857,-1.4165,-1.7305
Ir-Ru,1.8,7,1.78,7,2.351,2.2,2.2,1.5643615,1.0463825,8.96702,7.3605,0.44,0.43,0.74047,0.5213,-1.154,-1.9865
Pt-Ru,1.77,9,1.78,7,2.458,2.28,2.2,2.125105,1.0463825,8.95883,7.3605,0.43,0.11,0.694218,0.439584,-0.855,-2.911
Au-Ru,1.74,10,1.78,7,2.492,2.54,2.2,2.30861025,1.0463825,9.225554,7.3605,0.43,0.0,0.711723,0.470622,-0.7655,-4.437
Rh-Rh,1.73,8,1.73,8,2.453,2.28,2.28,1.142892,1.142892,7.4589,7.4589,0.31,0.31,0.533596,0.528928,-1.425,-1.425
Pd-Rh,1.69,10,1.73,8,2.448,2.28,2.2,1.142892,0.5621412,8.336839,7.4589,0.31,-0.03,0.544253,0.456201,-1.446,-2.6385
Ag-Rh,1.65,10,1.73,8,2.72,2.28,1.93,1.304473,1.142892,7.576234,7.4589,0.31,0.1,0.586895,0.494951,-1.217,-3.154
Cd-Rh,1.61,10,1.73,8,2.723,2.28,1.69,1.142892,-0.72,8.99382,7.4589,0.31,0.25,0.679082,0.583824,-1.514,-8.086
Hf-Rh,2.08,2,1.73,8,2.308,2.28,1.3,1.142892,0.17807,7.4589,6.82507,1.0,0.31,1.647295,0.14526,1.133,-1.584
Ta-Rh,2.0,3,1.73,8,2.275,2.28,1.5,1.142892,0.32312,7.549571,7.4589,0.75,0.31,1.64339,0.252014,0.1385,-2.069
W-Rh,1.93,4,1.73,8,2.261,2.36,2.28,1.142892,0.816268,7.86403,7.4589,0.85,0.31,1.406975,0.33632,-0.3315,-2.006
Re-Rh,1.88,5,1.73,8,2.27,2.28,1.9,1.142892,0.06039663,7.83352,7.4589,0.5,0.31,0.998844,0.466138,-1.032,-2.1085
Os-Rh,1.85,6,1.73,8,2.309,2.28,2.2,1.142892,1.0778013,8.43823,7.4589,0.43,0.31,0.73874,0.536157,-1.6335,-2.1565
Ir-Rh,1.8,7,1.73,8,2.439,2.28,2.2,1.5643615,1.142892,8.96702,7.4589,0.44,0.31,0.532025,0.529054,-1.466,-1.658
Pt-Rh,1.77,9,1.73,8,2.445,2.28,2.28,2.125105,1.142892,8.95883,7.4589,0.31,0.11,0.551662,0.457017,-1.5095,-2.816
Au-Rh,1.74,10,1.73,8,2.45,2.54,2.28,2.30861025,1.142892,9.225554,7.4589,0.31,0.0,0.509749,0.479236,-0.954,-4.027
Pd-Pd,1.69,10,1.69,10,2.387,2.2,2.2,0.5621412,0.5621412,8.336839,8.336839,-0.03,-0.03,0.433494,0.426041,-2.0,-2.0
Ag-Pd,1.65,10,1.69,10,2.413,2.2,1.93,1.304473,0.5621412,8.336839,7.576234,0.1,-0.03,0.623182,0.504835,-3.168,-5.091
Cd-Pd,1.61,10,1.69,10,2.718,2.2,1.69,0.5621412,-0.72,8.99382,8.336839,0.25,-0.03,0.549104,0.521192,-2.556,-7.502
Hf-Pd,2.08,2,1.69,10,2.449,2.2,1.3,0.5621412,0.17807,8.336839,6.82507,1.0,-0.03,1.745511,0.182465,0.674,-3.007
Ta-Pd,2.0,3,1.69,10,2.387,2.2,1.5,0.5621412,0.32312,8.336839,7.549571,0.75,-0.03,1.630258,0.236492,0.0945,-3.2145
