name,Predicted value,Difference from optimal G
Ru-Mo,-0.6425262171238756,0.7237262171238756
Rh-Mo,-0.5862948211968614,0.6674948211968614
Pd-Mo,-0.7780796937388228,0.8592796937388227
Ag-Mo,-0.7889945043982142,0.8701945043982142
Cd-Mo,-1.0614966661193606,1.1426966661193605
Hf-Mo,-3.707162577759722,3.788362577759722
Ta-Mo,-3.7723006190130053,3.8535006190130052
W-Mo,-2.2770930991267857,2.3582930991267856
Re-Mo,-1.595492530772066,1.676692530772066
Os-Mo,-0.6545743406238753,0.7357743406238753
Ir-Mo,-0.6859703628320464,0.7671703628320463
Pt-Mo,-0.7689200932878967,0.8501200932878967
Au-Mo,-1.0645094509041009,1.1457094509041008
Tc-Tc,-0.5532935369558865,0.6344935369558864
Ru-Tc,-0.2919415658516302,0.3731415658516302
Rh-Tc,-0.2833631191977213,0.3645631191977213
Pd-Tc,-0.3196636916159873,0.4008636916159873
Ag-Tc,-0.4848106331916667,0.5660106331916667
Cd-Tc,-1.0080067291453707,1.0892067291453706
Hf-Tc,-2.342945639298659,2.424145639298659
Ta-Tc,-2.3123455772451966,2.3935455772451966
W-Tc,-1.7778385950671058,1.8590385950671058
Re-Tc,-0.6426486712070768,0.7238486712070769
Os-Tc,-0.10197667758943603,0.183176677589436
Ir-Tc,-0.3732753116172137,0.4544753116172137
Pt-Tc,-0.33136192667500003,0.412561926675
Au-Tc,-0.2606192452972223,0.3418192452972223
Ru-Ru,-0.07352336924875637,0.15472336924875635
Rh-Ru,0.08837227830895862,0.007172278308958627
Pd-Ru,0.32832074115180365,0.24712074115180366
Ag-Ru,-0.0818517505002465,0.1630517505002465
Cd-Ru,-0.3608041399265874,0.4420041399265874
Hf-Ru,-2.3251205903116223,2.4063205903116223
Ta-Ru,-2.2047680559664924,2.2859680559664923
W-Ru,-0.7794767826666004,0.8606767826666004
Re-Ru,-0.5591142970824072,0.6403142970824072
Os-Ru,-0.04789753887249973,0.12909753887249972
Ir-Ru,-0.07090411554558683,0.15210411554558684
Pt-Ru,0.22406285783253965,0.14286285783253966
Au-Ru,0.5769334132640874,0.49573341326408743
Rh-Rh,0.09753402387015993,0.016334023870159933
Pd-Rh,0.3863315025869048,0.3051315025869048
Ag-Rh,0.16027545039036797,0.07907545039036798
Cd-Rh,-0.37348329906223554,0.45468329906223554
Hf-Rh,-2.164220366372553,2.245420366372553
Ta-Rh,-2.0715041475885334,2.1527041475885333
W-Rh,-0.6701562690623136,0.7513562690623137
Re-Rh,-0.5703417271446789,0.6515417271446788
Os-Rh,-0.042751544239892976,0.12395154423989296
Ir-Rh,-0.01824816811634801,0.099448168116348
Pt-Rh,0.2359721749173521,0.1547721749173521
Au-Rh,0.6263642341720239,0.545164234172024
Pd-Pd,0.627006617369246,0.545806617369246
Ag-Pd,0.7082232337176585,0.6270232337176584
Cd-Pd,-0.29308712460833336,0.37428712460833335
Hf-Pd,-2.132646896053703,2.213846896053703
Ta-Pd,-2.0508062605236526,2.1320062605236525
W-Pd,-0.7810775739517858,0.8622775739517858
Re-Pd,-0.8207919431283069,0.901991943128307
Os-Pd,0.22166906007878792,0.14046906007878793
Ir-Pd,0.2571725848010101,0.17597258480101008
Pt-Pd,0.6865667620359128,0.6053667620359129
Au-Pd,0.9813765046430555,0.9001765046430554
Ag-Ag,0.44265675733382026,0.36145675733382027
Cd-Ag,-0.8458743897056219,0.927074389705622
Hf-Ag,-2.498811163789683,2.580011163789683
Ta-Ag,-2.2021068553681635,2.2833068553681635
W-Ag,-0.6084458611187952,0.6896458611187952
Re-Ag,-0.855716738982179,0.9369167389821791
Os-Ag,-0.1145023802865019,0.1957023802865019
Ir-Ag,0.002138314997492799,0.0790616850025072
Pt-Ag,0.5051160415500902,0.42391604155009016
Au-Ag,0.8875725731986108,0.8063725731986109
Cd-Cd,-0.3883847001587303,0.4695847001587303
Hf-Cd,-1.969184000183333,2.050384000183333
Ta-Cd,-1.8287418583638886,1.9099418583638885
W-Cd,-1.4755051170789686,1.5567051170789685
Re-Cd,-0.9546342857648812,1.0358342857648812
Os-Cd,-0.4241348524912036,0.5053348524912036
Ir-Cd,-0.5072154450388888,0.5884154450388888
Pt-Cd,-0.40974384396706337,0.49094384396706336
Au-Cd,-0.6414724611306216,0.7226724611306217
Hf-Hf,-3.813523404243057,3.8947234042430567
Ta-Hf,-4.385162121243057,4.466362121243057
W-Hf,-4.000029982938887,4.081229982938887
Re-Hf,-2.1296872705417145,2.2108872705417144
Os-Hf,-2.06838842186817,2.14958842186817
Ir-Hf,-1.9011850914521828,1.9823850914521828
Pt-Hf,-1.9296965586680563,2.0108965586680565
Au-Hf,-1.909310446786424,1.9905104467864239
Ta-Ta,-4.169236270684723,4.250436270684723
W-Ta,-3.8719433037708324,3.9531433037708323
Re-Ta,-1.985289192536267,2.066489192536267
Os-Ta,-1.9195579273417804,2.0007579273417804
Ir-Ta,-1.7191675677902782,1.8003675677902782
Pt-Ta,-1.7510674012541674,1.8322674012541673
Au-Ta,-1.7403872456600349,1.8215872456600348
W-W,-3.7197853385597224,3.8009853385597223
Re-W,-1.9163642739198172,1.9975642739198172
Os-W,-0.6903272419106599,0.7715272419106598
Ir-W,-0.6948518420205144,0.7760518420205145
Pt-W,-0.7532733751939573,0.8344733751939573
Au-W,-0.661633282949008,0.7428332829490081
Re-Re,-0.6643995351029102,0.7455995351029101
Os-Re,-0.49088497296673256,0.5720849729667326
Ir-Re,-0.555512260119216,0.6367122601192159
Pt-Re,-0.7544182627940476,0.8356182627940476
Au-Re,-0.7286996070843252,0.8098996070843252
Os-Os,-0.06928648004697062,0.15048648004697063
Ir-Os,-0.27277219569972444,0.35397219569972443
Pt-Os,0.20219000311318547,0.12099000311318547
Au-Os,0.5744801920053572,0.49328019200535717
Ir-Ir,-0.05917780894787758,0.14037780894787757
Pt-Ir,0.18097929113342354,0.09977929113342354
Au-Ir,0.5793930542970238,0.4981930542970238
Pt-Pt,0.579282463646122,0.498082463646122
Au-Pt,1.0922765304069437,1.0110765304069438
Au-Au,1.0031080380944444,0.9219080380944444
