name,Predicted value,Difference from optimal G
Cu-Co,0.31995101468728415,0.23875101468728416
Zn-Co,-0.5494379288475245,0.6306379288475246
Y-Co,-2.5287767449604743,2.6099767449604743
Zr-Co,-2.522431002729464,2.603631002729464
Nb-Co,-2.0759897925056108,2.1571897925056107
Mo-Co,-0.9899176065057413,1.0711176065057413
Tc-Co,-0.6736263287069424,0.7548263287069423
Ru-Co,0.035500325665630994,0.045699674334369
Rh-Co,0.3055147385856132,0.22431473858561318
Pd-Co,0.3316188537203586,0.2504188537203586
Ag-Co,0.2747513226667777,0.19355132266677771
Cd-Co,-0.46161899565377884,0.5428189956537788
Hf-Co,-2.6330492277360826,2.7142492277360826
Ta-Co,-2.2359618196305213,2.3171618196305213
W-Co,-1.4401696833684121,1.521369683368412
Re-Co,-0.7219993060792598,0.8031993060792597
Os-Co,-0.04365142164167923,0.12485142164167923
Ir-Co,0.15123243421444488,0.07003243421444488
Pt-Co,0.3686628197019026,0.2874628197019026
Au-Co,0.5140449422238675,0.43284494222386755
Ni-Ni,0.41550046058858614,0.33430046058858615
Cu-Ni,0.5252549790070042,0.44405497900700425
Zn-Ni,-0.4983648183003371,0.579564818300337
Y-Ni,-2.4218453411752785,2.5030453411752784
Zr-Ni,-2.4927056592467,2.5739056592467
Nb-Ni,-2.0944322449870425,2.1756322449870424
Mo-Ni,-1.0931955638751623,1.1743955638751622
Tc-Ni,-0.7861126614316658,0.8673126614316657
Ru-Ni,-0.0455046596376405,0.1267046596376405
Rh-Ni,0.29897543819852923,0.21777543819852924
Pd-Ni,0.6338572195815406,0.5526572195815407
Ag-Ni,0.4473583984432652,0.3661583984432652
Cd-Ni,-0.4228162792258554,0.5040162792258553
Hf-Ni,-2.5745902036115336,2.6557902036115335
Ta-Ni,-2.2336620522943114,2.3148620522943113
W-Ni,-1.417282389130269,1.498482389130269
Re-Ni,-0.8480240074357395,0.9292240074357394
Os-Ni,-0.12647108790252104,0.20767108790252103
Ir-Ni,0.07351600161316707,0.007683998386832924
Pt-Ni,0.6786988773613094,0.5974988773613095
Au-Ni,0.8737619004187216,0.7925619004187217
Cu-Cu,0.3577350023273054,0.2765350023273054
Zn-Cu,-0.5776334091952898,0.6588334091952899
Y-Cu,-2.49066440473897,2.57186440473897
Zr-Cu,-2.615273903120539,2.696473903120539
Nb-Cu,-2.243564494835711,2.324764494835711
Mo-Cu,-1.3226209905162019,1.4038209905162018
Tc-Cu,-1.0749669787441407,1.1561669787441406
Ru-Cu,-0.3135859000439212,0.39478590004392117
Rh-Cu,0.13283976055621016,0.05163976055621017
Pd-Cu,0.4044358846510514,0.3232358846510514
Ag-Cu,0.18726531067012453,0.10606531067012454
Cd-Cu,-0.6936756041426209,0.7748756041426208
Hf-Cu,-2.6884928113881426,2.7696928113881425
Ta-Cu,-2.391723305949937,2.472923305949937
W-Cu,-1.5815447977176298,1.6627447977176297
Re-Cu,-1.099602638926207,1.180802638926207
Os-Cu,-0.379722210138128,0.460922210138128
